"diagnosis_code","diagnosis_description"
"639.9","Unspecified complication following abortion or ectopic and molar pregnancy"
"635.01","Legally induced abortion, complicated by genital tract and pelvic infection, incomplete"
"639","Genital tract and pelvic infection following abortion or ectopic and molar pregnancies"
"654.83","Congenital or acquired abnormality of vulva, antepartum condition or complication"
"669.1","Shock during or following labor and delivery, unspecified as to episode of care or not applicable"
"659.3","Generalized infection during labor, unspecified as to episode of care or not applicable"
"648.7","Bone and joint disorders of back, pelvis, and lower limbs of mother, unspecified as to episode of care or not applicable"
"635.02","Legally induced abortion, complicated by genital tract and pelvic infection, complete"
"654.8","Congenital or acquired abnormality of vulva, unspecified as to episode of care or not applicable"
"641.33","Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication"
"664.04","First-degree perineal laceration, postpartum condition or complication"
"673.84","Other obstetrical pulmonary embolism, postpartum condition or complication"
"673.04","Obstetrical air embolism, postpartum condition or complication"
"647.24","Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication"
"673.02","Obstetrical air embolism, delivered, with mention of postpartum complication"
"639.5","Shock following abortion or ectopic and molar pregnancies"
"633.91","Unspecified ectopic pregnancy with intrauterine pregnancy"
"654.52","Cervical incompetence, delivered, with mention of postpartum complication"
"661.33","Precipitate labor, antepartum condition or complication"
"637.8","Unspecified abortion, with unspecified complication, unspecified"
"676.22","Engorgement of breasts associated with childbirth, delivered, with mention of postpartum complication"
"659.23","Maternal pyrexia during labor, unspecified, antepartum condition or complication"
"668.03","Pulmonary complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
"651.21","Quadruplet pregnancy, delivered, with or without mention of antepartum condition"
"643.81","Other vomiting complicating pregnancy, delivered, with or without mention of antepartum condition"
"638.2","Failed attempted abortion complicated by damage to pelvic organs or tissues"
"646.22","Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication"
"676.3","Other and unspecified disorder of breast associated with childbirth, unspecified as to episode of care or not applicable"
"637.1","Unspecified abortion, complicated by delayed or excessive hemorrhage, unspecified"
"646","Papyraceous fetus, unspecified as to episode of care or not applicable"
"671.51","Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
"642.6","Eclampsia, unspecified as to episode of care or not applicable"
"675.83","Other specified infections of the breast and nipple associated with childbirth, antepartum condition or complication"
"647.22","Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"654.64","Other congenital or acquired abnormality of cervix, postpartum condition or complication"
"665.7","Pelvic hematoma, unspecified as to episode of care or not applicable"
"652.8","Other specified malposition or malpresentation, unspecified as to episode of care or not applicable"
"664.64","Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, postpartum condition or complication"
"671.52","Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication"
"665.44","High vaginal laceration, postpartum condition or complication"
"665.6","Damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable"
"652.13","Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication"
"656.9","Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable"
"665.83","Other specified obstetrical trauma, antepartum condition or complication"
"763.4","Cesarean delivery affecting fetus or newborn"
"671.04","Varicose veins of legs complicating pregnancy and the puerperium, postpartum condition or complication"
"638.8","Failed attempted abortion with unspecified complication"
"651.8","Other specified multiple gestation, unspecified as to episode of care or not applicable"
"634.7","Spontaneous abortion, with other specified complications, unspecified"
"669.61","Breech extraction, without mention of indication, delivered, with or without mention of antepartum condition"
"654.44","Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication"
"653.43","Fetopelvic disproportion, antepartum condition or complication"
"676.64","Galactorrhea associated with childbirth, postpartum condition or complication"
"670.32","Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication"
"651.81","Other specified multiple gestation, delivered, with or without mention of antepartum condition"
